img_path,dimensions
../data/train_images/0bfcecec15bb9bef0c8e59e2776ee3c7_2.jpeg,"(1272, 280, 3)"
../data/train_images/79b91beee42bcf1aa1e5cc91da08f683_2.jpeg,"(1800, 904, 3)"
../data/train_images/a28b628b33608b2cdadff12fc6aa2537_2.jpeg,"(1600, 384, 3)"
../data/train_images/c5e6c3efbdf833673fdfa3db1c6c4b23_2.jpeg,"(224, 1616, 3)"
../data/train_images/ab526f17170864dea67909338879b3dc_2.jpeg,"(1888, 536, 3)"
../data/train_images/35e09396b1a536c593466d45285c7d85_2.jpeg,"(1072, 856, 3)"
../data/train_images/6ebaeb1925943ae96bec6be4a370dc8e_2.jpeg,"(1720, 184, 3)"
../data/train_images/5f87ade21db570b2dbdd0772edd54657_2.jpeg,"(1976, 624, 3)"
../data/train_images/706a5789a3517393a583829512a1fb8d_2.jpeg,"(1240, 776, 3)"
../data/train_images/60a56a0ab535c04b4f4f39955fc9d268_2.jpeg,"(1648, 592, 3)"
../data/train_images/45b722a9c968f995fcc13d1e59cbcc88_2.jpeg,"(2176, 664, 3)"
../data/train_images/eb065a93e3ff8ecaa0acca4126c4c154_2.jpeg,"(1112, 704, 3)"
../data/train_images/5904fa2121ec88a1db8251d6d986f38a_2.jpeg,"(880, 1080, 3)"
../data/train_images/9d8ab96e43f381bff9816daee10b7100_2.jpeg,"(1080, 1008, 3)"
../data/train_images/867e8aabc9463fb736371750b3082132_2.jpeg,"(2016, 432, 3)"
../data/train_images/200c27d689b7c5b6461f6cc33428049a_2.jpeg,"(1776, 472, 3)"
../data/train_images/ae0fead0becdfd46f9182a8cc9321b2c_2.jpeg,"(1640, 320, 3)"
../data/train_images/64fb4585a1a2f2ec2cdfe6e0e831dddf_2.jpeg,"(2248, 920, 3)"
../data/train_images/a0b7d920c249437e4e7aea315df4a0a0_2.jpeg,"(896, 2352, 3)"
../data/train_images/b4f14cae24e001bad06e5a7e42f1002b_2.jpeg,"(1272, 320, 3)"
../data/train_images/7b3f3b2a473fa265132ca41c139372b0_2.jpeg,"(1792, 280, 3)"
../data/train_images/37aba3bbad701308106b141471c063f0_2.jpeg,"(776, 1824, 3)"
../data/train_images/7d60fa34382d46eddec04ec8acb4cb52_2.jpeg,"(328, 600, 3)"
../data/train_images/d203223fbdcf16f652de8669eac6b8df_2.jpeg,"(960, 1344, 3)"
../data/train_images/b801c926e3101268f1b816bd658bcc2f_2.jpeg,"(1200, 304, 3)"
../data/train_images/8631ec5e69c162ee078e8a17f131f72e_2.jpeg,"(1216, 432, 3)"
../data/train_images/fd3a19b58724189865a7b6bf3d70232c_2.jpeg,"(1320, 600, 3)"
../data/train_images/b7a9d9c0b19c2e44097dfd62b5889310_2.jpeg,"(1616, 584, 3)"
../data/train_images/3b7f094d2e4a2c14d38961d386f9b2ca_2.jpeg,"(1776, 792, 3)"
../data/train_images/0200fa88e8c01546663b9db1726936ac_2.jpeg,"(1584, 400, 3)"
../data/train_images/99f67e0699d1a1230968cad37c3fa985_2.jpeg,"(200, 440, 3)"
../data/train_images/87564cf996f25607b3f4a3c2c3738f03_2.jpeg,"(320, 840, 3)"
../data/train_images/749daa61a4a9b3adc9be11e75a38b9e0_2.jpeg,"(600, 1056, 3)"
../data/train_images/61a5c5faf9be923b525a4a57197a767a_2.jpeg,"(1200, 352, 3)"
../data/train_images/6f310463d3868e86be87adddeccdde19_2.jpeg,"(1360, 680, 3)"
../data/train_images/531ce6a7fd3f8699de151e1f07b57970_2.jpeg,"(1000, 528, 3)"
../data/train_images/610489a9612f4f28cd140e8326c909fa_2.jpeg,"(240, 944, 3)"
../data/train_images/0f09d54c1c7484c7892e834be3153964_2.jpeg,"(264, 872, 3)"
../data/train_images/da959308ba225828ad7bfca0ce00f42a_2.jpeg,"(1696, 576, 3)"
../data/train_images/7917868832afbdb15a7106ebc5c85950_2.jpeg,"(1944, 648, 3)"
../data/train_images/381655124cc7fc032195c4033e8575ad_2.jpeg,"(1808, 504, 3)"
../data/train_images/03a1deb18638f73ce898b2adac1c8ec9_2.jpeg,"(1128, 848, 3)"
../data/train_images/f4f3046575d40abbe5e89c790c780287_2.jpeg,"(1464, 184, 3)"
../data/train_images/b526ea7d50eead8c02fb3a4054fe34e5_2.jpeg,"(1416, 1072, 3)"
../data/train_images/8f18d0ffda3fb439d6ad4473d575409d_2.jpeg,"(208, 1104, 3)"
../data/train_images/3a84282b7ee9d38fb202f4ffd2144c91_2.jpeg,"(1816, 632, 3)"
../data/train_images/f756a136d382cfc37704069809199f5d_2.jpeg,"(1776, 1096, 3)"
../data/train_images/7be44aadbb607a7b01a4ffeb792fd36e_2.jpeg,"(856, 648, 3)"
../data/train_images/158754df49e00760f8e4659a05e7cc0c_2.jpeg,"(352, 144, 3)"
../data/train_images/29e8b967adbf884c2660762866e364eb_2.jpeg,"(328, 184, 3)"
../data/train_images/75170383deee90cd67c6a9def29fbd30_2.jpeg,"(1512, 576, 3)"
../data/train_images/6c2184be6158e9b5c7fb8c829c5e8585_2.jpeg,"(1696, 280, 3)"
../data/train_images/b2ed25818b60032cf273066b9ae43c0d_2.jpeg,"(1088, 1616, 3)"
../data/train_images/a10ba9a0d61fd41d9ca9aae25788504c_2.jpeg,"(648, 1616, 3)"
../data/train_images/67319450f16093d1be341212bc57c86f_2.jpeg,"(1768, 504, 3)"
../data/train_images/96f35710cd558b3fd598a2ac159ddf27_2.jpeg,"(1192, 608, 3)"
../data/train_images/130e070fe606be39506ac1dc4bd7f5bf_2.jpeg,"(264, 904, 3)"
../data/train_images/44d1baf3f558ceb7cad8400079178649_2.jpeg,"(1440, 232, 3)"
../data/train_images/f31612c68725d78ee2e9632017c799e2_2.jpeg,"(1296, 448, 3)"
../data/train_images/c5560bcc6aae0963ce9946a2f0913f16_2.jpeg,"(1472, 264, 3)"
../data/train_images/f96db577fb4251fe7952c30bc5be09e2_2.jpeg,"(1512, 504, 3)"
../data/train_images/c35748a22f311db6af79236075dfdb30_2.jpeg,"(1376, 1328, 3)"
../data/train_images/511a33b7aeb1153407ed2d55cae001c8_2.jpeg,"(1312, 952, 3)"
../data/train_images/3756141b86ca5f2afcacf5113d4e8f83_2.jpeg,"(1408, 592, 3)"
../data/train_images/d63c41a88f43f4f46b49fe4d63c9d117_2.jpeg,"(1336, 600, 3)"
../data/train_images/b896a5ef96069f889c0e72c59e48b917_2.jpeg,"(216, 920, 3)"
../data/train_images/6226ebfc1f9b743a8b02db4eb7145738_2.jpeg,"(1240, 304, 3)"
../data/train_images/582ceecab271f684b5f4dd9848ea1859_2.jpeg,"(1424, 608, 3)"
../data/train_images/14e8546f89ef3481e9f99eff7c7a74d8_2.jpeg,"(1272, 648, 3)"
../data/train_images/abefa7fbef36b2bcc0c67eebb672e820_2.jpeg,"(224, 384, 3)"
../data/train_images/248fc842149898be28b346ce1fb15ab1_2.jpeg,"(272, 1568, 3)"
../data/train_images/aca465b1eb4bbea86b38939c897a462a_2.jpeg,"(696, 2192, 3)"
../data/train_images/3c6610ef769e5c09d9e7b9d2c2fddb40_2.jpeg,"(1600, 264, 3)"
../data/train_images/50d777bdfa7218c5aa81bdf72fa1bdf2_2.jpeg,"(1088, 456, 3)"
../data/train_images/4ce70385b1b2a8d59d8d52f303e76285_2.jpeg,"(1248, 600, 3)"
../data/train_images/389853c7149f7007e467b20351b1f552_2.jpeg,"(360, 1504, 3)"
../data/train_images/bce6156cc1e42f3c62b14d424664c974_2.jpeg,"(1696, 648, 3)"
../data/train_images/70d813b5e09d4fdac98c761c15c28a62_2.jpeg,"(896, 296, 3)"
../data/train_images/5bb50bb8d8df795210537f17ca113f28_2.jpeg,"(1736, 192, 3)"
../data/train_images/3bb7fa03be7da5a086cf9a234cd3a025_2.jpeg,"(1880, 432, 3)"
../data/train_images/6a43f7e8b37e4f8a63ba3f178ef78016_2.jpeg,"(160, 318, 3)"
../data/train_images/8c4f32285302c83919d972072b52cb0e_2.jpeg,"(984, 296, 3)"
../data/train_images/59949a9304b8d4678e55709ef9cf1d8a_2.jpeg,"(1016, 1560, 3)"
../data/train_images/eb6d35c149072c75cee433ec81ba7c49_2.jpeg,"(1896, 512, 3)"
../data/train_images/cd5ba6aadfeafe1aa567c7d18fe93660_2.jpeg,"(280, 1528, 3)"
../data/train_images/6a7acfa9447d5df18f50e7ffdfe34f38_2.jpeg,"(1848, 704, 3)"
../data/train_images/f3d92b6ae8a2ad0325d714b395229e79_2.jpeg,"(464, 1664, 3)"
../data/train_images/dd283d0ff1afced1fa9c86e26269c003_2.jpeg,"(1464, 992, 3)"
../data/train_images/e59296cf7a004822a4cce233bcb221b3_2.jpeg,"(1664, 272, 3)"
../data/train_images/f136c04bb54b73543f234c0c6b51ad41_2.jpeg,"(1584, 1376, 3)"
../data/train_images/fb1a3e8ee799c0d48b8e9d89e65797e9_2.jpeg,"(1144, 352, 3)"
../data/train_images/bc9c6686eeb1ee886d3b461b2f584760_2.jpeg,"(632, 264, 3)"
../data/train_images/581ddcc26091de4814ecf37300c7c297_2.jpeg,"(960, 400, 3)"
../data/train_images/514f894a5d88a2f7b8a36109c0caa4e2_2.jpeg,"(1440, 512, 3)"
../data/train_images/005e66f06bce9c2e49142536caf2f6ee_2.jpeg,"(1928, 976, 3)"
../data/train_images/af5341277e4627293fb84ff9777ce792_2.jpeg,"(2136, 736, 3)"
../data/train_images/c657214e550cdfd9ea235414fd63fe5e_2.jpeg,"(928, 1416, 3)"
../data/train_images/dd8421355eeb8bbf9f0907a09497e890_2.jpeg,"(1192, 3504, 3)"
../data/train_images/072c26f55ed2317ff8d27d8500483121_2.jpeg,"(1504, 328, 3)"
../data/train_images/1563523865810e5763f7f1dd1a30da85_2.jpeg,"(424, 1512, 3)"
../data/train_images/2659c8793ae036bf6e6b1d05a080329d_2.jpeg,"(1632, 904, 3)"
../data/train_images/020d0243094c8561544f683b4c64859d_2.jpeg,"(1328, 1576, 3)"
../data/train_images/bfdbe56fb7fc4d7b3d151370f897d503_2.jpeg,"(1040, 232, 3)"
../data/train_images/b502324488d82fb0e428d5bc4e0cd36b_2.jpeg,"(1264, 1824, 3)"
../data/train_images/74b8cd450974417d88ee617601cea1b1_2.jpeg,"(1096, 240, 3)"
../data/train_images/f56e89dc86b2573d9759aa38c8bd05e9_2.jpeg,"(928, 280, 3)"
../data/train_images/d6587192c22af1403afb3c5283819cae_2.jpeg,"(2200, 488, 3)"
../data/train_images/8196c63cbdcdc0abd0cac91194d26944_2.jpeg,"(1104, 1160, 3)"
../data/train_images/896ad51054f2f9f44429430f3c52adb8_2.jpeg,"(1000, 432, 3)"
../data/train_images/a5e22243152d5cc871983364ae7b6e95_2.jpeg,"(1200, 488, 3)"
../data/train_images/831183f19516eec017c0ec264ff75eaa_2.jpeg,"(1952, 168, 3)"
../data/train_images/77545268b9c0cec2fd73b7cb9e03d66b_2.jpeg,"(192, 152, 3)"
../data/train_images/10d3ed411fb2f2e829fd5574e76160cc_2.jpeg,"(1464, 672, 3)"
../data/train_images/be06224070078f6c0e89c247768c7cd4_2.jpeg,"(1472, 672, 3)"
../data/train_images/56deba64468141b0968ad8899b121b15_2.jpeg,"(1624, 400, 3)"
../data/train_images/1ec8e0f0d006e23ad9ab3686bc6a61e5_2.jpeg,"(1128, 856, 3)"
../data/train_images/ceca3540b0d27bc1db9400138e1bf518_2.jpeg,"(2304, 1440, 3)"
../data/train_images/f77965d26573294bdf67672718b3d4d0_2.jpeg,"(1568, 424, 3)"
../data/train_images/37571c63d9ff6cd0a71b4b60e130804e_2.jpeg,"(1376, 632, 3)"
../data/train_images/bc8042b8de3ce084219ac65217fc9e0a_2.jpeg,"(1424, 424, 3)"
../data/train_images/dfb8f57174971abbab14ad065b36769b_2.jpeg,"(272, 352, 3)"
../data/train_images/231ff3d1398ec6a584cddb1661dd20a4_2.jpeg,"(1256, 872, 3)"
../data/train_images/ab81f1e238ba4350b836f161a0c5c043_2.jpeg,"(832, 256, 3)"
../data/train_images/a63b1104e5fba617aa8262d8a58df325_2.jpeg,"(2080, 440, 3)"
../data/train_images/f67a592b0bb22b35277c751dd0631ad1_2.jpeg,"(2016, 488, 3)"
../data/train_images/b64b0fc3bbfde95fb265773a61962813_2.jpeg,"(676, 736, 3)"
../data/train_images/12e25a87792128bda9c444d1e1db5c20_2.jpeg,"(1392, 416, 3)"
../data/train_images/310c3c470ea8bf65581df6c9e49262f9_2.jpeg,"(656, 816, 3)"
../data/train_images/4e94a11759c86bca9836e27cfd2fb670_2.jpeg,"(1288, 272, 3)"
../data/train_images/c23936489d103366825cbd33c09d921c_2.jpeg,"(712, 696, 3)"
../data/train_images/96fabf5f28383a649aa86ffbacd47a3a_2.jpeg,"(1432, 272, 3)"
../data/train_images/7cbc9de18c7205d762b1b65748eaa2ad_2.jpeg,"(1656, 328, 3)"
../data/train_images/c9dbdd9c9fc0eab0d235499488b26c53_2.jpeg,"(1464, 280, 3)"
../data/train_images/85b43e64b68fce39237fcfaf32d5a7d7_2.jpeg,"(1160, 360, 3)"
../data/train_images/573cdbd8eda0e7ccf8a1df177f1764cc_2.jpeg,"(360, 368, 3)"
../data/train_images/18533bc08197fa92ff063ad89ceddc89_2.jpeg,"(792, 176, 3)"
../data/train_images/290c577d0c6de06fd2c82375427d9bd9_2.jpeg,"(1616, 648, 3)"
../data/train_images/ce11c35b78303027cbbf715f48c0817a_2.jpeg,"(592, 1080, 3)"
../data/train_images/601216d398fcb7c5f0e05f69ac5734e4_2.jpeg,"(1072, 368, 3)"
../data/train_images/6788613b15835202197519f788c9f435_2.jpeg,"(936, 1152, 3)"
../data/train_images/96415990a25ee1d758a8bc7ae97d593f_2.jpeg,"(176, 336, 3)"
../data/train_images/86ffb5b169bb7a72dffdf930233a446a_2.jpeg,"(1784, 272, 3)"
../data/train_images/6e70fa6670bda66963853ad613e8fcc5_2.jpeg,"(336, 1173, 3)"
../data/train_images/f102169b07ee29e61ed6001725f076e7_2.jpeg,"(584, 2192, 3)"
../data/train_images/4dc731d30fb8010b313c357fa56459e3_2.jpeg,"(264, 264, 3)"
../data/train_images/c7b8b5d4f033d38b29c52d363b0bc7dc_2.jpeg,"(1704, 648, 3)"
../data/train_images/3380c3e1993e6ab8c7d6910fb2cabc9f_2.jpeg,"(1664, 624, 3)"
../data/train_images/e9cc7c0bc8f872f85115f20344e7e491_2.jpeg,"(2064, 448, 3)"
../data/train_images/7544fad7b4026bc2d67c7ef68183abad_2.jpeg,"(1456, 256, 3)"
../data/train_images/44f20df33112cfc1ae49f18ee2efc913_2.jpeg,"(264, 1104, 3)"
../data/train_images/dd025ef522443f0f1e0f2282d7145dde_2.jpeg,"(664, 1928, 3)"
../data/train_images/c517993657aadfd868d6760a5136df94_2.jpeg,"(1688, 616, 3)"
../data/train_images/e9f18c7e7ced779403e0b56d7b987827_2.jpeg,"(680, 1368, 3)"
../data/train_images/756d99387536d5721fcf4cf590627179_2.jpeg,"(456, 1336, 3)"
../data/train_images/70f9db53cebf8b01b447b1a1de031eb4_2.jpeg,"(264, 1472, 3)"
../data/train_images/829dd10a2effb3f6aad826dc06217f58_2.jpeg,"(424, 576, 3)"
../data/train_images/ef4e60fa0b52fced74607ab20b44e365_2.jpeg,"(1376, 568, 3)"
../data/train_images/bcfe9f95b00f5e94d7dce184cfb8b97a_2.jpeg,"(1528, 352, 3)"
../data/train_images/88281522d27ef85887810dcc0cb89b14_2.jpeg,"(1288, 264, 3)"
../data/train_images/39e0f864a25b0498bf35d6d27e36d4f3_2.jpeg,"(1184, 856, 3)"
../data/train_images/6e5820ec2c6f92c75e0ff86c68011042_2.jpeg,"(1536, 600, 3)"
../data/train_images/63980763840312073acd55d24fabdcaf_2.jpeg,"(1648, 760, 3)"
../data/train_images/f2061f4d36c3ed5e865d8f8d8e0785b3_2.jpeg,"(1240, 1152, 3)"
../data/train_images/84788a5d87253ff74149afcce0a4edb3_2.jpeg,"(1672, 384, 3)"
../data/train_images/5aa4b7f84cae372f9ee6d63e32c964db_2.jpeg,"(1512, 1312, 3)"
../data/train_images/11fb56dd38d8f4179c702afacbd70d41_2.jpeg,"(224, 736, 3)"
../data/train_images/5f4b172026d631582bbd8c8d0081a226_2.jpeg,"(1528, 472, 3)"
../data/train_images/9b502095417b17febdd678bda972cf80_2.jpeg,"(1968, 1416, 3)"
../data/train_images/80dc4502ba1cff1616abf553065b6ca3_2.jpeg,"(1152, 768, 3)"
../data/train_images/e2d98ec7b49a8786775c4ad6e6662eee_2.jpeg,"(1744, 800, 3)"
../data/train_images/01d983ba412b27a65f58848b695ec751_2.jpeg,"(736, 968, 3)"
../data/train_images/4bb4bbbd6dec06f9938c52cbdfa0b1c9_2.jpeg,"(736, 2256, 3)"
../data/train_images/efadb69675bdbc972dc32aac8f0aed11_2.jpeg,"(208, 1264, 3)"
../data/train_images/7f9c400a79bb91af19137b1d39d20e0a_2.jpeg,"(952, 680, 3)"
../data/train_images/1d3dbba03eea11b79283c459629a8be5_2.jpeg,"(1488, 1304, 3)"
../data/train_images/436fe677570dbf833a4298a1f0346edf_2.jpeg,"(1280, 376, 3)"
../data/train_images/02367dd4a62007ff4dc3226886c93f47_2.jpeg,"(1024, 424, 3)"
../data/train_images/ab833a07de59607fa4fbaebf1d92fb33_2.jpeg,"(936, 400, 3)"
../data/train_images/beac155ed4bdcad4a5a4ce22717a6c58_2.jpeg,"(1344, 632, 3)"
../data/train_images/f8cd927bd23dd105b3594f28d16ee792_2.jpeg,"(1568, 848, 3)"
../data/train_images/70a840557099db07a37542bdf701df90_2.jpeg,"(952, 560, 3)"
../data/train_images/5dbe471927123756883dc4ec6121a72c_2.jpeg,"(1224, 600, 3)"
../data/train_images/637e9203f2969b9fd192ce0b1d93167a_2.jpeg,"(1232, 832, 3)"
../data/train_images/cd0caa41fe8b3cfb5d80601d1065e597_2.jpeg,"(384, 1312, 3)"
../data/train_images/02f72cb5511e180ee7d2d1bf793233bc_2.jpeg,"(1472, 256, 3)"
../data/train_images/1ae5bb38e69e00f22cb087a4d2237b43_2.jpeg,"(1456, 608, 3)"
../data/train_images/a09f18e1b9cc5c4874d683b06dad9802_2.jpeg,"(1328, 288, 3)"
../data/train_images/adbfb2f1cecea96a904bd46ac74ba2f6_2.jpeg,"(376, 1040, 3)"
../data/train_images/2442cc58025c02b3d153183bb0f65bd4_2.jpeg,"(1512, 608, 3)"
../data/train_images/87f911e13431605386cb4a32367e74f0_2.jpeg,"(968, 280, 3)"
../data/train_images/e573d5bd029fefceb5463707eb41a03a_2.jpeg,"(736, 1632, 3)"
../data/train_images/1c4653246dc78308252d47160786ad15_2.jpeg,"(280, 320, 3)"
../data/train_images/a8d547b83d523669de401e539503ab03_2.jpeg,"(760, 256, 3)"
../data/train_images/e6a6f4658717ef0c20e18cc89b96f4e6_2.jpeg,"(1552, 392, 3)"
../data/train_images/6ff318a6d23cd703fa230a51d9e36834_2.jpeg,"(1224, 360, 3)"
../data/train_images/20f78bd7716dd352981d93d2fe7fd178_2.jpeg,"(968, 1312, 3)"
../data/train_images/a34c0d728771285a18dfb156259eb817_2.jpeg,"(224, 1392, 3)"
../data/train_images/e004796dbc56fa09c543d415a360c17b_2.jpeg,"(1768, 584, 3)"
../data/train_images/99bc60c2d554be9304993efa0a5ef740_2.jpeg,"(1344, 368, 3)"
../data/train_images/07f6b87e1e88e2370609c102502cd51a_2.jpeg,"(1392, 440, 3)"
../data/train_images/0c063b8b2ba5bc8f6a77695dab1a8562_2.jpeg,"(1552, 504, 3)"
../data/train_images/95cef4ca534e7e446accec285266416c_2.jpeg,"(1720, 376, 3)"
../data/train_images/4dcd3e9109bd390a86bb0f72cfc80a8f_2.jpeg,"(1928, 744, 3)"
../data/train_images/ffcd99c47e57ad2934dc6bbf5edf6675_2.jpeg,"(944, 272, 3)"
../data/train_images/ede949d8112785a5568da67879b80a98_2.jpeg,"(1336, 472, 3)"
../data/train_images/2a0413cade5edfb4cf5b0d43e7346659_2.jpeg,"(1120, 464, 3)"
../data/train_images/757b927de93c8083c392f2248529d29a_2.jpeg,"(232, 856, 3)"
../data/train_images/fc6e8f4a24257f619a44c3e1a9eacb6f_2.jpeg,"(1488, 344, 3)"
../data/train_images/a8e773eff750fc08a72de5075c79474f_2.jpeg,"(1717, 1136, 3)"
../data/train_images/1ec31c0ef1a94feed5942cfb9643f077_2.jpeg,"(816, 256, 3)"
../data/train_images/789a88aa6341166fa4e3e08647d3d0e8_2.jpeg,"(920, 432, 3)"
../data/train_images/fa74ab756f01ab6b562643955d297cba_2.jpeg,"(248, 1840, 3)"
../data/train_images/5793129d5309364fe1d706764c78cf3e_2.jpeg,"(1672, 856, 3)"
../data/train_images/ac2980962fa337ca0527b396bc62cf07_2.jpeg,"(256, 1408, 3)"
../data/train_images/5b281fbdb595d08a630ec51d418a3196_2.jpeg,"(1024, 576, 3)"
../data/train_images/351a7cf22baaa7916631910a15f148bc_2.jpeg,"(1624, 360, 3)"
../data/train_images/91256e6ad32ae5faf424a89a30b7a849_2.jpeg,"(1888, 1616, 3)"
../data/train_images/d30e752128d848c02c131360d06d9381_2.jpeg,"(1040, 480, 3)"
../data/train_images/3e5bee4290a7ad08e44522df7ed98763_2.jpeg,"(488, 1696, 3)"
../data/train_images/bd465b5e566f6336037c548644e11e16_2.jpeg,"(224, 864, 3)"
../data/train_images/d1d6ed6317466e46f6c8574d1508972d_2.jpeg,"(1024, 2344, 3)"
../data/train_images/453dc2fc4fc4115d00bf6a44d4311952_2.jpeg,"(1568, 400, 3)"
../data/train_images/cdc62b9e07d25bb4ceac1ba9d09e6e12_2.jpeg,"(1752, 832, 3)"
../data/train_images/3ea2b7849d7ce4fccad168565e8e669e_2.jpeg,"(1168, 448, 3)"
../data/train_images/a0e79ca3b7a02a0d6c5ed69ab4a5c8b4_2.jpeg,"(752, 536, 3)"
../data/train_images/9cb13cca3ac6868be386485a3cb6141e_2.jpeg,"(1784, 336, 3)"
../data/train_images/d1a7929f14a24aad1e0f2178ae2ab08e_2.jpeg,"(1176, 264, 3)"
../data/train_images/1b965b82acd903a38a837ae3d80ce5b9_2.jpeg,"(1104, 624, 3)"
../data/train_images/343071a8c11157ff068bfcdbc0f76ca9_2.jpeg,"(1128, 456, 3)"
../data/train_images/9665b32251dfc1c438787d36e8b66dd0_2.jpeg,"(1384, 224, 3)"
../data/train_images/bb2fb7ab470f27bfd02dd9a42b6c5255_2.jpeg,"(360, 312, 3)"
../data/train_images/62f8a7597b348cf04667a2e5c597a641_2.jpeg,"(1136, 424, 3)"
../data/train_images/309a240cec8d3f98a615f8cfba3f7624_2.jpeg,"(1224, 184, 3)"
../data/train_images/34decd8752d355a11b8428eef2c3b614_2.jpeg,"(512, 464, 3)"
../data/train_images/98eff279b10d8e5186e406ef91de2f3f_2.jpeg,"(1584, 456, 3)"
../data/train_images/2ebf6b50e4c245e4078976a271b7aa79_2.jpeg,"(200, 680, 3)"
../data/train_images/7907a6d9eb98127ed4906b37b5f52c7b_2.jpeg,"(1776, 456, 3)"
../data/train_images/3edccb2b905b03511825b5413f1ddce0_2.jpeg,"(1840, 544, 3)"
../data/train_images/f8e44af1b7d155545fc2a928d65a5e55_2.jpeg,"(912, 296, 3)"
../data/train_images/8c357871e57c5c60277230412f2d9028_2.jpeg,"(1656, 1352, 3)"
../data/train_images/7ce456619c8710d5316c4ea4d03d31c9_2.jpeg,"(1424, 1368, 3)"
../data/train_images/e8a78f05190df3abb5642e5b0f7a5524_2.jpeg,"(1728, 352, 3)"
../data/train_images/e0ca5e9b18d9d563d7b6a4fe3d919f89_2.jpeg,"(1368, 344, 3)"
../data/train_images/1d2f6f79ee18460e6b18e3710c87e8a2_2.jpeg,"(536, 176, 3)"
../data/train_images/61838ed2c863a4b4d7b851854f990941_2.jpeg,"(1248, 880, 3)"
../data/train_images/08a06fa523ddffc4597efa05ef129f1f_2.jpeg,"(1744, 488, 3)"
../data/train_images/f5f823a0cd8f5dc53c9a6b7161c1cc02_2.jpeg,"(1720, 296, 3)"
../data/train_images/cfbabe8f3c5c7978dc95f905d16914a9_2.jpeg,"(936, 360, 3)"
../data/train_images/3b31f5eba8578eb248aafbabbb5240d4_2.jpeg,"(1120, 248, 3)"
../data/train_images/1bb0fc2e65f114c35ff38339c532bd5b_2.jpeg,"(1704, 920, 3)"
../data/train_images/3ff30b9406f4c44c9b8dba47615f1fca_2.jpeg,"(1888, 576, 3)"
../data/train_images/5560bd3b03194cf9cdb514f7254b17b5_2.jpeg,"(1144, 1352, 3)"
../data/train_images/73e92e6b0a791d808d9767aa3d0750f2_2.jpeg,"(1328, 448, 3)"
../data/train_images/02805e3e20ef629ffeeee1e68cf24ab0_2.jpeg,"(2048, 576, 3)"
../data/train_images/7a4a98bfcac87d4496e2b182a4b1a293_2.jpeg,"(1952, 136, 3)"
../data/train_images/bc763ec4c8db4a23ae6c074bcf20e00b_2.jpeg,"(896, 744, 3)"
